Wall time,Step,Value
1706007787.7035735,59,-132.5550994873047
1706007787.7959661,60,-154.0454559326172
1706007787.9149203,61,-205.69972229003906
1706007788.0483832,62,-160.65487670898438
1706007788.1849103,63,-103.20218658447266
1706007788.285921,64,-134.33448791503906
1706007788.4122307,65,-74.12760162353516
1706007788.509472,66,-135.8126983642578
1706007788.612662,67,-146.62582397460938
1706007788.7450826,68,-125.8183364868164
1706007788.8478067,69,-131.61875915527344
1706007789.0835721,70,-106.93717956542969
1706007789.3913898,71,-126.04120635986328
1706007789.4976213,72,-96.85958862304688
1706007789.7163835,73,-93.36703491210938
1706007789.8708127,74,-149.0272674560547
1706007789.989124,75,-82.31748962402344
1706007790.1208365,76,-132.6934356689453
1706007790.2667935,77,-107.30679321289062
1706007790.474912,78,-286.5361633300781
1706007790.636305,79,-133.23028564453125
1706007790.76265,80,-282.471435546875
1706007791.004585,81,-267.0072937011719
1706007791.2175434,82,-169.68406677246094
1706007791.442163,83,-135.61135864257812
1706007791.672272,84,-265.90509033203125
1706007791.978102,85,-242.65443420410156
1706007792.266619,86,-132.1560821533203
1706007792.609905,87,-548.6875
1706007792.7907217,88,-113.08727264404297
1706007792.977761,89,-324.55230712890625
1706007793.3652296,90,-428.9032897949219
1706007793.7898598,91,-150.0472412109375
1706007794.0429766,92,-406.6859436035156
1706007794.2095375,93,-61.128761291503906
1706007794.5038426,94,-296.46282958984375
1706007794.7428026,95,-321.82440185546875
1706007794.9044476,96,-119.36058807373047
1706007795.0291376,97,-56.84455871582031
1706007795.1720173,98,-36.07204818725586
1706007795.310469,99,-117.34169006347656
1706007795.523253,100,-119.85176849365234
1706007795.670659,101,-297.0575866699219
1706007796.007534,102,-357.0219421386719
1706007796.1713219,103,-131.80477905273438
1706007796.63149,104,-68.75252532958984
1706007796.888083,105,-95.68800354003906
1706007797.0087006,106,-76.75224304199219
1706007797.1211543,107,-83.65737915039062
1706007797.2723126,108,-38.695838928222656
1706007797.397841,109,-87.79597473144531
1706007797.4941883,110,-64.3959732055664
1706007798.776327,111,-85.42298126220703
1706007798.9602427,112,-64.44112396240234
1706007799.1066592,113,-252.94345092773438
1706007799.264,114,-165.62747192382812
1706007799.4197671,115,-63.51527404785156
1706007799.544505,116,-163.53440856933594
1706007799.7285414,117,-95.2939453125
1706007799.9637632,118,-128.64573669433594
1706007800.253955,119,-15.261869430541992
1706007800.5700366,120,-126.74784088134766
1706007801.1569963,121,-44.67646026611328
1706007801.3046799,122,-106.47427368164062
1706007801.4508138,123,-55.63772201538086
1706007801.658379,124,-78.69835662841797
1706007801.9629464,125,-60.429344177246094
1706007802.144674,126,-109.99015045166016
1706007802.459465,127,-8.147459030151367
1706007802.6377184,128,-75.02249145507812
1706007802.901825,129,-125.48441314697266
1706007803.2169878,130,-199.8778533935547
1706007803.4379418,131,-91.01860809326172
1706007803.7018626,132,-238.79908752441406
1706007803.9100606,133,-142.4268798828125
1706007804.0589,134,-96.04743194580078
1706007804.228888,135,20.594627380371094
1706007804.463727,136,-4.03995943069458
1706007804.7314963,137,-4.052821159362793
1706007804.9287481,138,-57.97183609008789
1706007805.338559,139,-15.57612419128418
1706007805.5311453,140,-267.9923095703125
1706007805.7550101,141,-47.66129684448242
1706007806.3467329,142,-469.5196533203125
1706007806.93539,143,-446.5467529296875
1706007807.5132236,144,-323.6210632324219
1706007808.1357284,145,-460.63018798828125
1706007809.1489778,146,-70.11727905273438
1706007809.4478223,147,-182.89747619628906
1706007809.7313776,148,28.625362396240234
1706007809.8747203,149,-62.33635330200195
1706007810.0149899,150,-24.22163200378418
1706007810.1855617,151,-149.0499267578125
1706007810.4000242,152,-2.263132095336914
1706007810.95362,154,-104.14872741699219
1706007811.337352,155,-346.1886901855469
1706007811.8576498,156,-284.8495178222656
1706007812.339215,157,-172.34315490722656
1706007813.0160468,158,-267.17279052734375
1706007813.7635179,159,-470.2088623046875
1706007814.1318939,160,-464.1864013671875
1706007814.563682,161,-33.801204681396484
1706007814.9483626,162,-453.12078857421875
1706007815.3385708,163,-65.20967102050781
1706007815.6900866,164,-420.36260986328125
1706007816.529766,165,-326.72503662109375
1706007817.0405104,166,-437.3615417480469
1706007817.8788846,167,-331.91259765625
1706007818.6511471,168,-509.0556335449219
1706007819.6360395,169,-395.0897216796875
1706007820.5776894,170,-319.65716552734375
1706007821.146014,171,-537.9688110351562
1706007822.0632463,172,-118.14701080322266
1706007822.455961,173,-16.48147964477539
1706007822.7590208,174,-204.29415893554688
1706007823.6780627,175,-705.8974609375
1706007824.3271794,176,-369.42303466796875
1706007824.9334006,177,-406.04803466796875
1706007825.9606717,178,-424.7711181640625
1706007826.4861922,179,-434.0294189453125
1706007827.4716463,180,-419.36541748046875
1706007828.1175559,181,-159.60369873046875
1706007828.5310066,182,-288.265869140625
1706007829.20748,183,-217.0721435546875
1706007830.5906506,184,-222.8745880126953
1706007831.2321093,185,-534.4666748046875
1706007831.5741103,186,5.3307695388793945
1706007832.0732703,187,-331.95318603515625
1706007832.7164598,188,-387.978271484375
1706007833.0527496,189,-194.5965576171875
1706007833.2897873,190,-75.84907531738281
1706007833.5658655,191,-212.79576110839844
1706007833.81147,192,-62.23434829711914
1706007834.0566573,193,-125.68119049072266
1706007834.349113,194,-24.56715965270996
1706007834.7340357,195,0.6103512048721313
1706007835.1107562,197,-29.395153045654297
1706007835.5702672,198,-43.95726013183594
1706007835.7932742,199,-18.083812713623047
1706007843.7952151,200,-39.09107208251953
1706007844.315123,201,-28.909561157226562
1706007844.659605,202,-272.2458801269531
1706007845.118737,203,-145.6187744140625
1706007845.3970625,204,-51.58082962036133
1706007846.4211175,206,-114.91461181640625
1706007846.889296,207,8.903721809387207
1706007847.193574,208,-121.1053695678711
1706007847.448395,209,-151.36526489257812
1706007847.7631013,210,5.333817481994629
1706007848.7578828,212,-86.13097381591797
